dist,value
2746,2825.135009765625
2747,2825.89404296875
2748,2826.60791015625
2749,2826.989013671875
2750,2827.195068359375
2751,2828.25390625
2752,2828.98193359375
2753,2830.501953125
2754,2831.427001953125
2755,2832.285888671875
2756,2834.070068359375
2757,2834.9951171875
2758,2836.498046875
2759,2837.2529296875
2760,2837.844970703125
2761,2839.39697265625
2762,2840.27294921875
2763,2841.823974609375
2764,2843.3759765625
2765,2843.3759765625
2766,2844.760009765625
2767,2845.490966796875
2768,2846.488037109375
2769,2847.486083984375
2770,2847.486083984375
2771,2848.48291015625
2772,2849.469970703125
2773,2850.631103515625
2774,2850.922119140625
2775,2851.81396484375
2776,2852.95703125
2777,2853.6279296875
2778,2854.778076171875
2779,2855.221923828125
2780,2856.013916015625
2781,2857.222900390625
2782,2858.041015625
2783,2859.3359375
2784,2859.777099609375
2785,2860.632080078125
2786,2861.85498046875
2787,2862.762939453125
2788,2864.239990234375
2789,2864.699951171875
2790,2865.717041015625
2791,2866.7470703125
2792,2867.64501953125
2793,2868.193115234375
2794,2869.52490234375
2795,2870.571044921875
2796,2872.159912109375
2797,2873.387939453125
2798,2873.387939453125
2799,2874.60498046875
2800,2875.3759765625
2801,2876.138916015625
2802,2876.79296875
2803,2876.79296875
2804,2877.535888671875
2805,2878.2900390625
2806,2879.02099609375
2807,2879.60302734375
2808,2879.60302734375
2809,2880.19189453125
2810,2880.31396484375
2811,2880.98388671875
2812,2882.48291015625
2813,2882.48291015625
2814,2883.77001953125
2815,2884.833984375
2816,2885.449951171875
2817,2885.43798828125
2818,2886.1708984375
2819,2886.912109375
2820,2887.280029296875
2821,2887.7099609375
2822,2887.837890625
2823,2888.138916015625
2824,2889.0419921875
2825,2889.676025390625
2826,2890.282958984375
2827,2890.201904296875
2828,2890.931884765625
2829,2891.364990234375
2830,2891.614990234375
2831,2892.153076171875
2832,2891.804931640625
2833,2892.343994140625
2834,2892.508056640625
2835,2892.4970703125
2836,2892.4970703125
2837,2892.6201171875
2838,2893.33203125
2839,2893.4208984375
2840,2893.51708984375
2841,2893.51708984375
2842,2893.492919921875
2843,2894.029052734375
2844,2893.777099609375
2845,2893.3291015625
2846,2893.3291015625
2847,2892.762939453125
2848,2893.2060546875
2849,2892.6689453125
2850,2892.297119140625
2851,2892.297119140625
2852,2892.0439453125
2853,2892.48095703125
